#LIBRARY    ENDF/B-VIII.0
#REACTION   H-1(N,TOT),SIG
#NUCLEUS    H-1
#MF         3
#MT         1
#E,eV        Sig,b        Interpolation
 1E-05       1176.39      Lin-Lin
 1.10304E-05 1120.11      Lin-Lin
 1.21669E-05 1066.53      Lin-Lin
 1.34206E-05 1015.51      Lin-Lin
 1.48034E-05 966.937      Lin-Lin
 1.63286E-05 920.686      Lin-Lin
 1.80111E-05 876.65       Lin-Lin
 1.98669E-05 834.721      Lin-Lin
 2.19139E-05 794.8        Lin-Lin
 2.41719E-05 756.791      Lin-Lin
 2.66625E-05 720.601      Lin-Lin
 2.94097E-05 686.144      Lin-Lin
 3.244E-05   653.337      Lin-Lin
 3.57825E-05 622.101      Lin-Lin
 3.94694E-05 592.362      Lin-Lin
 4.35362E-05 564.046      Lin-Lin
 4.80221E-05 537.087      Lin-Lin
 5.29701E-05 511.42       Lin-Lin
 5.8428E-05  486.983      Lin-Lin
 6.44482E-05 463.716      Lin-Lin
 7.10888E-05 441.565      Lin-Lin
 7.84136E-05 420.476      Lin-Lin
 8.64931E-05 400.398      Lin-Lin
 9.54051E-05 381.283      Lin-Lin
 0.000105235 363.084      Lin-Lin
 0.000116078 345.759      Lin-Lin
 0.000128039 329.265      Lin-Lin
 0.000141232 313.563      Lin-Lin
 0.000155784 298.615      Lin-Lin
 0.000171835 284.385      Lin-Lin
 0.00018954  270.839      Lin-Lin
 0.00020907  257.944      Lin-Lin
 0.000230612 245.67       Lin-Lin
 0.000254374 233.986      Lin-Lin
 0.000280584 222.865      Lin-Lin
 0.000309494 212.28       Lin-Lin
 0.000341383 202.206      Lin-Lin
 0.000376558 192.617      Lin-Lin
 0.000415358 183.492      Lin-Lin
 0.000458155 174.808      Lin-Lin
 0.000505362 166.545      Lin-Lin
 0.000557433 158.682      Lin-Lin
 0.000614869 151.2        Lin-Lin
 0.000678223 144.082      Lin-Lin
 0.000748105 137.31       Lin-Lin
 0.000825188 130.869      Lin-Lin
 0.000910213 124.742      Lin-Lin
 0.001004    118.915      Lin-Lin
 0.00110745  113.374      Lin-Lin
 0.00122155  108.105      Lin-Lin
 0.00134742  103.096      Lin-Lin
 0.00148625  98.3351      Lin-Lin
 0.00163939  93.8103      Lin-Lin
 0.00180831  89.5109      Lin-Lin
 0.00199463  85.4481      Lin-Lin
 0.00200871  85.1419      Lin-Lin
 0.00220016  81.585       Lin-Lin
 0.0022312   81.0095      Lin-Lin
 0.00242685  77.9132      Lin-Lin
 0.00247845  77.0984      Lin-Lin
 0.00267691  74.4242      Lin-Lin
 0.00275297  73.4013      Lin-Lin
 0.00295273  71.1101      Lin-Lin
 0.00305805  69.9046      Lin-Lin
 0.00325697  67.9632      Lin-Lin
 0.00339677  66.6017      Lin-Lin
 0.00359256  64.9765      Lin-Lin
 0.0037732   63.4804      Lin-Lin
 0.00396272  62.1429      Lin-Lin
 0.00419113  60.5347      Lin-Lin
 0.00437103  59.4561      Lin-Lin
 0.00465558  57.7538      Lin-Lin
 0.00482141  56.9095      Lin-Lin
 0.00517125  55.1323      Lin-Lin
 0.00531819  54.4973      Lin-Lin
 0.00574431  52.6603      Lin-Lin
 0.00586616  52.2138      Lin-Lin
 0.00638057  50.3332      Lin-Lin
 0.00647059  50.0536      Lin-Lin
 0.00708766  48.1419      Lin-Lin
 0.0071373   48.0114      Lin-Lin
 0.00787271  46.0824      Lin-Lin
 0.00868389  44.2824      Lin-Lin
 0.00874515  44.1468      Lin-Lin
 0.00957865  42.5838      Lin-Lin
 0.00971379  42.3309      Lin-Lin
 0.0105656   40.99        Lin-Lin
 0.0108658   40.5185      Lin-Lin
 0.0116543   39.4837      Lin-Lin
 0.0121545   38.8286      Lin-Lin
 0.0128551   38.0631      Lin-Lin
 0.013596    37.2554      Lin-Lin
 0.0141796   36.7253      Lin-Lin
 0.0152085   35.793       Lin-Lin
 0.0156406   35.4672      Lin-Lin
 0.0170122   34.436       Lin-Lin
 0.0172522   34.287       Lin-Lin
 0.0190298   33.1864      Lin-Lin
 0.0191641   33.1034      Lin-Lin
 0.0209906   32.1795      Lin-Lin
 0.0215871   31.8785      Lin-Lin
 0.0231534   31.2326      Lin-Lin
 0.0243176   30.7538      Lin-Lin
 0.0252419   30.4211      Lin-Lin
 0.0253      30.4009      Lin-Lin
 0.0279068   29.5916      Lin-Lin
 0.0286998   29.3461      Lin-Lin
 0.0307823   28.8286      Lin-Lin
 0.0325565   28.389       Lin-Lin
 0.033954    28.1135      Lin-Lin
 0.037192    27.4772      Lin-Lin
 0.0374525   27.4369      Lin-Lin
 0.0413115   26.8411      Lin-Lin
 0.0424854   26.6604      Lin-Lin
 0.0455681   26.2901      Lin-Lin
 0.0488745   25.8942      Lin-Lin
 0.0502633   25.7664      Lin-Lin
 0.0554423   25.2918      Lin-Lin
 0.0566211   25.1841      Lin-Lin
 0.0611549   24.8712      Lin-Lin
 0.0660549   24.5343      Lin-Lin
 0.0674561   24.4627      Lin-Lin
 0.0744066   24.1088      Lin-Lin
 0.0776004   23.9468      Lin-Lin
 0.0820732   23.7819      Lin-Lin
 0.0905297   23.4715      Lin-Lin
 0.0924546   23.4012      Lin-Lin
 0.0998577   23.2102      Lin-Lin
 0.110147    22.946       Lin-Lin
 0.111701    22.9063      Lin-Lin
 0.121496    22.7344      Lin-Lin
 0.134014    22.516       Lin-Lin
 0.136864    22.4665      Lin-Lin
 0.147823    22.3403      Lin-Lin
 0.163054    22.1659      Lin-Lin
 0.171253    22.0726      Lin-Lin
 0.179855    22.0105      Lin-Lin
 0.198386    21.8776      Lin-Lin
 0.218827    21.732       Lin-Lin
 0.220371    21.7211      Lin-Lin
 0.241375    21.6322      Lin-Lin
 0.266245    21.5278      Lin-Lin
 0.293678    21.4134      Lin-Lin
 0.323938    21.3439      Lin-Lin
 0.357316    21.268       Lin-Lin
 0.394132    21.185       Lin-Lin
 0.41105     21.1471      Lin-Lin
 0.434743    21.1205      Lin-Lin
 0.479537    21.0707      Lin-Lin
 0.528947    21.0163      Lin-Lin
 0.583448    20.9569      Lin-Lin
 0.612785    20.9252      Lin-Lin
 0.643565    20.9107      Lin-Lin
 0.709876    20.8797      Lin-Lin
 0.78302     20.8461      Lin-Lin
 0.8637      20.8095      Lin-Lin
 0.952693    20.7695      Lin-Lin
 1.0076      20.7451      Lin-Lin
 1.05086     20.7383      Lin-Lin
 1.15913     20.7217      Lin-Lin
 1.27857     20.7037      Lin-Lin
 1.4103      20.6842      Lin-Lin
 1.55562     20.663       Lin-Lin
 1.7159      20.64        Lin-Lin
 1.89271     20.6149      Lin-Lin
 1.96022     20.6055      Lin-Lin
 2.08772     20.6011      Lin-Lin
 2.30284     20.594       Lin-Lin
 2.54012     20.5864      Lin-Lin
 2.80184     20.5784      Lin-Lin
 3.09053     20.5697      Lin-Lin
 3.40897     20.5603      Lin-Lin
 3.76022     20.5502      Lin-Lin
 4.14767     20.5393      Lin-Lin
 4.57503     20.5275      Lin-Lin
 5.04642     20.5146      Lin-Lin
 5.33729     20.5067      Lin-Lin
 5.56639     20.506       Lin-Lin
 6.13994     20.5042      Lin-Lin
 6.77258     20.5024      Lin-Lin
 7.4704      20.5005      Lin-Lin
 8.24013     20.4986      Lin-Lin
 9.08917     20.4967      Lin-Lin
 10.0257     20.4947      Lin-Lin
 11.0587     20.4926      Lin-Lin
 12.2842     20.4903      Lin-Lin
 13.5499     20.488       Lin-Lin
 14.9461     20.4856      Lin-Lin
 16.6016     20.4828      Lin-Lin
 18.3121     20.48        Lin-Lin
 20.199      20.4771      Lin-Lin
 22.2802     20.474       Lin-Lin
 24.7492     20.4703      Lin-Lin
 27.1081     20.4669      Lin-Lin
 30.1122     20.4627      Lin-Lin
 33.4475     20.458       Lin-Lin
 36.8938     20.4533      Lin-Lin
 40.6952     20.4482      Lin-Lin
 43.3445     20.4446      Lin-Lin
 44.8884     20.4443      Lin-Lin
 49.5135     20.4433      Lin-Lin
 55.0005     20.4423      Lin-Lin
 60.6676     20.4412      Lin-Lin
 66.9186     20.4401      Lin-Lin
 73.8137     20.4389      Lin-Lin
